TimeStep,Whales,Seals,Cod,Whiting,Mackerel,Anchovy,Shrimp,Benthos,Zooplankton,Phytoplankton,Detritus
33,0.09355242,0.05408825,3.522848,1.887746,0.7127564,4.548397,0.7633573,27.10868,9.213581,3.866615,7.360081
34,0.09359727,0.05403576,3.514936,1.877143,0.7062448,4.503272,0.7598915,26.09451,5.768114,7.272548,5.316848
35,0.09365387,0.05401037,3.511809,1.868837,0.6944637,4.283805,0.7653934,23.74574,6.592131,15.88034,5.635687
36,0.09372087,0.05399078,3.512941,1.860751,0.6831611,4.036883,0.7746288,21.5544,11.10566,27.76976,9.024968
37,0.09378602,0.05399282,3.512509,1.850083,0.6771784,3.918512,0.7767868,21.37114,22.0244,16.23908,15.99769
38,0.09383886,0.05397805,3.507384,1.836574,0.6841937,4.136105,0.7690697,23.70855,22.79212,7.21199,15.38692
39,0.09387868,0.05396155,3.498772,1.822857,0.6942487,4.46279,0.7581131,26.20101,16.25778,2.703902,11.40281
40,0.09390995,0.05395883,3.489206,1.810849,0.6973374,4.647155,0.7500533,27.12182,8.518903,4.031028,7.050079
41,0.09394315,0.05398054,3.481916,1.801458,0.6905224,4.581548,0.7495072,25.99567,5.368316,8.279615,5.116998
42,0.09399445,0.05403049,3.480411,1.794844,0.6791415,4.33804,0.7588683,23.58047,6.242085,19.25688,5.690785
43,0.0940564,0.05408423,3.483265,1.788272,0.6681561,4.073043,0.7718071,21.54154,11.48504,30.54063,9.945357
44,0.09411555,0.0541093,3.484994,1.779243,0.6630154,3.965012,0.7779095,21.77987,21.65201,15.96605,16.7476
45,0.09416223,0.05410675,3.482633,1.76781,0.6700874,4.187166,0.7754002,24.40093,22.56291,6.919606,15.3249
46,0.09419657,0.05410287,3.477463,1.75656,0.6802697,4.519707,0.7708896,26.91781,16.0628,2.891669,11.1962
47,0.09422285,0.05411299,3.471616,1.747071,0.6836845,4.708065,0.7693854,27.74351,8.615569,4.337535,7.05358
48,0.09425092,0.05414489,3.467834,1.739881,0.6777323,4.652111,0.7742911,26.56903,5.519841,7.990782,5.235546
49,0.09429409,0.05425158,3.46891,1.734821,0.667223,4.427205,0.7878247,24.12971,6.597119,16.74022,5.735058
50,0.09434711,0.05437658,3.474195,1.729743,0.6572998,4.189924,0.8046717,21.92264,10.85936,29.78025,9.155986
51,0.09439725,0.05447413,3.477833,1.722314,0.6520167,4.081598,0.813239,21.82924,20.80989,15.04452,16.13272
52,0.09443591,0.05454078,3.476913,1.712519,0.6583784,4.291321,0.8112499,24.12782,22.09811,6.443384,14.81719
53,0.09446242,0.05460668,3.47285,1.702704,0.6681092,4.61609,0.8055443,26.3621,15.68512,2.937585,10.84935
54,0.09448113,0.05468466,3.467947,1.694343,0.6713561,4.794768,0.80151,26.98406,8.557403,4.61931,6.962787
55,0.09449964,0.05477372,3.464622,1.687712,0.6655848,4.735907,0.8023749,25.74907,5.431751,9.6734,5.261943
56,0.09453137,0.05488575,3.465318,1.68283,0.6552182,4.508717,0.8096106,23.46817,6.773307,19.51572,6.228897
57,0.09457261,0.05498974,3.469006,1.677802,0.6456969,4.275537,0.8183982,21.71507,12.28695,27.78358,10.40016
58,0.09461207,0.05506398,3.471008,1.670781,0.6422624,4.206634,0.8196698,22.10591,24.53814,13.14759,17.02262
59,0.09464123,0.05511243,3.469141,1.661955,0.6528254,4.524213,0.8125284,24.81492,23.60854,4.806612,15.15563
60,0.09465882,0.05515855,3.464618,1.65359,0.6647184,4.918988,0.80336,27.23988,14.88828,2.587984,10.49944
61,0.09466729,0.05527401,3.458742,1.646573,0.667379,5.096653,0.7966228,27.80701,7.622102,3.785553,6.58219
62,0.09467719,0.05543009,3.454645,1.641477,0.6605911,5.007611,0.7963986,26.38072,5.017208,7.618216,4.812654
